,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
110,appartement en résidence ," La Plagne-Tarentaise, France",Room,3,yes,6,3.0,5.0,13.0,75.0,Cyril,depuis 4 ans,Auvergne-Rhône-Alpes,"vue, confortable, montagne"
111,hébergement ," Athée-sur-Cher, France",Room,2,no,10,2.0,4.91,580.0,90.0,Ambre,depuis 6 ans,Centre-Val de Loire,"déjeuner, piscine, propre"
112,chalet ," Saint-Laurent-en-Grandvaux, France",Room,3,yes,6,1.0,5.0,12.0,118.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Bourgogne-Franche-Comté,"mention, cosy, propre"
113,appartement ," Wintzenheim, France",Room,2,no,6,1.0,4.97,272.0,184.0,Maud,depuis 5 ans,Grand Est,"propre, grand, remou"
114,chalet ," Soultzeren, France",Room,2,no,6,1.0,4.93,109.0,100.0,Audrey,depuis 11 ans,Grand Est,"vue, propre, accueillante"
115,hébergement ," Brumath, France",Room,3,no,6,1.0,,2.0,126.0,Cathy,,Grand Est,"décoration, spacieux, gentil"
116,villa ," Bédoin, France",Room,3,yes,7,1.0,4.98,59.0,100.0,Lionel,depuis 2 ans,Provence-Alpes-Côte d'Azur,"piscine, mont, équipée"
117,cottage ," Saint-Vincent-du-Lorouër, France",Room,2,yes,6,1.0,4.94,283.0,61.0,Abdel Ilah,depuis 3 ans,Pays de la Loire,"confortable, calme, cuisine"
118,cottage ," Signy-le-Petit, France",Room,2,no,6,1.0,4.66,140.0,72.0,Nathalie,depuis 4 ans,Grand Est,"piscine, calme, propre"
119,hébergement ," Ensisheim, France",Room,2,yes,6,1.0,4.94,194.0,69.0,Thibaut,depuis 4 ans,Grand Est,"spacieux, calme, propre"
120,appartement ," Saint-Avre, France",Room,2,yes,6,1.0,4.93,41.0,156.0,Noel,11 mois,Auvergne-Rhône-Alpes,"piscine, vue, propre"
121,logement de vacances ," Le Portel, France",Room,3,no,6,1.0,4.8,96.0,71.0,Élodie,depuis 2 ans,Hauts-de-France,"plage, vue, propre"
122,chalet ," Le Menil, France",Room,2,yes,5,1.0,4.91,131.0,165.0,Yves,depuis 9 ans,Grand Est,"sauna, spa, calme"
