,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
238,hébergement ," Saint-Amand-sur-Sèvre, France",Studio,0,no,3,1.0,4.78,147.0,,Cindy Et Guillaume,depuis 7 ans,Nouvelle-Aquitaine,"propre, gentil, spacieux"
239,appartement ," Cluses, France",Studio,0,yes,2,1.0,4.96,243.0,55.0,Corine,depuis 7 ans,Auvergne-Rhône-Alpes,"accueillante, calme, propre"
240,cottage ," Cléguérec, France",Room,1,yes,5,1.0,5.0,53.0,61.0,Nicolas,depuis 2 ans,Bretagne,"calme, équipée, confortable"
241,appartement ," Nantes, France",Room,1,no,2,1.0,4.83,66.0,111.0,Adeline,5 mois,Pays de la Loire,"propre, parking, fenêtre"
242,hébergement ," Eppe-Sauvage, France",Room,1,no,4,1.0,5.0,7.0,39.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Hauts-de-France,"nature, chaude, tranquillité"
243,hébergement ," Saint-Jean-Saint-Maurice-sur-Loire, France",Room,1,yes,5,1.0,4.97,181.0,55.0,Arnaud,depuis 5 ans,Auvergne-Rhône-Alpes,"sauna, campagne, calme"
244,suite ," Fatouville-Grestain, France",Room,1,yes,2,1.0,5.0,183.0,55.0,Suzanne,depuis 4 ans,Normandie,"accueillante, attention, propre"
245,chalet ," Le Haut-Bréda, France",Room,2,yes,4,1.0,5.0,159.0,95.0,Catherine,depuis 5 ans,Auvergne-Rhône-Alpes,"attention, vue, grand"
246,chalet ," Quissac, France",Room,1,no,2,1.0,4.99,183.0,120.0,Vincent,depuis 4 ans,Occitanie,"calme, nature, plui"
247,Tiny house ," Uzemain, France",Room,1,yes,3,1.0,4.95,86.0,105.0,Homnest,depuis 3 ans,Grand Est,"nature, vue, calme"
248,Tiny house ," Plozévet, France",Room,2,no,4,1.0,4.97,203.0,60.0,Anne,depuis 10 ans,Bretagne,"bois, chaleureux, vue"
249,maison d'hôtes ," Montperreux, France",Room,1,yes,3,1.0,4.87,178.0,32.0,Nicolas,depuis 3 ans,Bourgogne-Franche-Comté,"cabane, vue, toilette"
250,Grange ," Greneville-en-Beauce, France",Room,1,no,4,1.0,4.97,58.0,106.0,Emilien,6 mois,Centre-Val de Loire,"propre, déjeuner, calme"
251,maison d'hôtes ," Aulnay-sous-Bois, France",Studio,0,no,2,1.0,4.76,62.0,41.0,Hicham,depuis 7 ans,Île-de-France,"studio, propre, calme"
252,appartement ," Dieppe, France",Studio,0,no,2,1.0,4.93,190.0,92.0,Chris,depuis 6 ans,Normandie,"romantique, plage, satisfaire"
253,loft ," Bouin, France",Room,2,no,5,1.0,4.98,345.0,80.0,Pauline,depuis 7 ans,Pays de la Loire,"grand, apporter, propre"
254,hébergement ," Issac, France",Room,3,no,6,1.0,4.94,52.0,79.0,Stéphanie,depuis 2 ans,Nouvelle-Aquitaine,"piscine, propre, accueillant"
255,hébergement ," Autoire, France",Room,2,no,5,1.0,4.97,61.0,,Emilie Et Julien,depuis 2 ans,Occitanie,"piscine, propre, calme"
256,hébergement ," Arné, France",Room,2,no,6,1.0,5.0,7.0,105.0,Fatima Et Jean Pierre,,Occitanie,"piscine, propre, accueillant"
257,hébergement ," Vielle-Saint-Girons, France",Room,3,no,6,2.0,5.0,22.0,179.0,Marylene,depuis 7 ans,Nouvelle-Aquitaine,"plage, spa, équipée"
258,chalet ," Saint-Christophe, France",Room,3,no,9,2.0,4.9,142.0,112.0,Francis,depuis 4 ans,Auvergne-Rhône-Alpes,"piscine, bois, nature"
259,hébergement ," Asson, France",Room,2,no,6,2.0,4.99,105.0,174.0,Laurent,depuis 7 ans,Nouvelle-Aquitaine,"vue, montagne, grand"
260,hébergement ," Les Epesses, France",Room,2,no,6,2.0,4.91,273.0,70.0,Aurélien Et Claudie,depuis 8 ans,Pays de la Loire,"parc, calme, campagne"
261,hébergement ," Drumettaz-Clarafond, France",Room,3,no,6,1.0,4.94,582.0,75.0,Hélène,depuis 10 ans,Auvergne-Rhône-Alpes,"hélène, calme, équipée"
262,appartement ," Saint-Mandrier-sur-Mer, France",Room,1,no,6,1.0,5.0,5.0,36.0,Alexandre,1 mois,Provence-Alpes-Côte d'Azur,"alexandre, vue, disponibilité"
263,hébergement ," Le Mas-d'Azil, France",Room,3,no,5,1.0,4.98,202.0,91.0,Dominique,depuis 12 ans,Occitanie,"piscine, sauna, nature"
264,chalet ," Blanquefort-sur-Briolance, France",Room,3,yes,6,1.0,4.87,15.0,90.0,Karine,7 mois,Nouvelle-Aquitaine,"piscine, nature, calme"
265,hébergement ," Fontaine-sur-Ay, France",Room,2,no,5,1.0,4.9,686.0,80.0,Frédérique & Timour,depuis 7 ans,Grand Est,"confortable, calme, cuisine"
266,hébergement ," Peyrilhac, France",Room,5,no,8,1.0,4.95,229.0,95.0,Benoît,depuis 3 ans,Nouvelle-Aquitaine,"calme, propre, grand"
267,maison de ville ," Fère-en-Tardenois, France",Room,2,no,6,1.0,4.89,56.0,65.0,Laurène,6 mois,Hauts-de-France,"parking, confortable, spacieux"
268,Château ," Belleherbe, France",Room,3,no,5,1.0,4.66,597.0,44.0,José,depuis 10 ans,Bourgogne-Franche-Comté,"unique, expérience, atypique"
269,appartement ," Tréguidel, France",Room,2,no,5,1.0,4.86,175.0,38.0,Valérie,depuis 8 ans,Bretagne,"calme, campagne, équipée"
270,hébergement ," Neuville-de-Poitou, France",Room,3,no,7,1.0,4.97,39.0,80.0,Julien,5 mois,Nouvelle-Aquitaine,"calme, propre, équipée"
271,hébergement ," Huisseau-sur-Cosson, France",Room,3,no,6,1.0,4.92,122.0,66.0,Murielle,depuis 3 ans,Centre-Val de Loire,"château, propre, gentillesse"
272,hébergement ," Cornimont, France",Room,3,no,5,1.0,,2.0,118.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Grand Est,"dépaysant, ambiance, calme"
273,hébergement ," Puyméras, France",Room,3,no,6,3.0,5.0,20.0,90.0,Chloé,depuis 7 ans,Provence-Alpes-Côte d'Azur,"calme, piscine, nature"
274,hébergement ," Chézery-Forens, France",Room,2,no,8,2.0,,1.0,74.0,Anthony,depuis 7 ans,Auvergne-Rhône-Alpes,"accueillant, accueillante, aimable"
275,hébergement ," Puyméras, France",Room,3,no,6,3.0,5.0,20.0,90.0,Chloé,depuis 7 ans,Provence-Alpes-Côte d'Azur,"calme, piscine, nature"
276,hébergement ," Plouëc-du-Trieux, France",Room,3,no,7,1.0,4.7,23.0,,Aurélien,depuis 5 ans,Bretagne,"calme, environnement, spacieux"
277,hébergement ," Friville-Escarbotin, France",Room,3,no,8,1.0,4.96,52.0,70.0,Linsay Stephane,,Hauts-de-France,"propre, grand, calme"
278,chalet ," Les Poulières, France",Room,2,no,7,1.0,4.99,107.0,95.0,Lizabete,depuis 3 ans,Grand Est,"spa, propre, accueillante"
279,hébergement ," Guérande, France",Room,3,no,6,1.0,4.87,293.0,61.0,Lise-Marie Et François,depuis 5 ans,Pays de la Loire,"calme, propre, extérieur"
280,hébergement ," Hautevesnes, France",Room,2,no,5,1.0,4.9,94.0,95.0,Manon,depuis 3 ans,Hauts-de-France,"piscine, cuisine, équipée"
281,hébergement ," Les Herbiers, France",Room,3,no,5,1.0,4.76,100.0,65.0,Felipe&Elise,depuis 4 ans,Pays de la Loire,"propre, grand, parc"
282,hébergement ," Béthisy-Saint-Pierre, France",Room,3,no,5,2.0,4.93,44.0,80.0,Matthieu,10 mois,Hauts-de-France,"parc, propre, grand"
283,hébergement ," Plévenon, France",Room,3,no,6,1.0,4.98,98.0,155.0,Loïc,depuis 6 ans,Bretagne,"plage, cuisine, vue"
284,appartement ," Wintzenheim, France",Room,2,no,6,1.0,5.0,8.0,80.0,Jessica Et Aurélien,1 mois,Grand Est,"gentillesse, décoration, attention"
285,chalet ," Oléac-Débat, France",Room,2,no,5,1.0,4.99,180.0,150.0,Gaelle,depuis 2 ans,Occitanie,"terrasse, propre, spa"
286,hébergement ," Ferrières-en-Gâtinais, France",Room,2,no,6,1.0,4.97,32.0,100.0,Magalie,7 mois,Centre-Val de Loire,"propre, attention, calme"
287,hébergement ," Journans, France",Room,3,no,6,1.0,4.93,59.0,106.0,Chalet Journans,,Auvergne-Rhône-Alpes,"vue, propre, environnement"
288,chalet ," Sainte-Suzanne, France",Room,3,no,5,1.0,4.78,227.0,59.0,Jacky,depuis 10 ans,Bourgogne-Franche-Comté,"nature, bois, calme"
289,hébergement ," Treux, France",Room,3,no,7,1.0,4.85,78.0,78.0,Isabelle,depuis 2 ans,Hauts-de-France,"spacieux, propre, confortable"
290,appartement ," Dunkerque, France",Room,2,no,6,2.0,4.89,141.0,64.0,Felicite,depuis 5 ans,Hauts-de-France,"plage, propre, nickel"
291,appartement ," Saint-Sozy, France",Room,2,no,6,1.0,4.97,110.0,62.0,Sébastien,depuis 3 ans,Occitanie,"piscine, propre, barbecue"
292,chalet ," Los Masos, France",Room,1,no,5,1.0,4.88,153.0,55.0,Eric,depuis 11 ans,Occitanie,"cabane, piscine, calme"
293,hébergement ," Vicq, France",Room,3,no,6,2.0,4.93,30.0,95.0,Adélaïde,7 mois,Hauts-de-France,"spacieux, calme, campagne"
294,appartement ," Saulzais-le-Potier, France",Room,3,no,6,1.0,4.95,524.0,70.0,Karine,depuis 4 ans,Centre-Val de Loire,"propre, spacieux, calme"
295,chalet ," Los Masos, France",Room,1,no,5,1.0,4.88,153.0,55.0,Eric,depuis 11 ans,Occitanie,"cabane, piscine, calme"
296,hébergement ," Montigny-sur-l'Ain, France",Room,2,no,5,1.0,4.96,216.0,62.0,Caro&Eric,depuis 6 ans,Bourgogne-Franche-Comté,"calme, vue, propre"
297,hébergement ," Gioux, France",Room,3,no,6,1.0,5.0,19.0,85.0,Kathelijne,10 mois,Nouvelle-Aquitaine,"piscine, accueillante, déjeuner"
298,cottage ," Maretz, France",Room,2,no,6,1.0,4.86,108.0,68.0,Christelle,depuis 2 ans,Hauts-de-France,"accueillante, confortable, équipée"
299,hébergement ," Clémont, France",Room,2,no,6,1.0,4.98,269.0,52.0,Pierre,depuis 5 ans,Centre-Val de Loire,"propre, grand, extérieur"
300,villa ," Bédoin, France",Room,3,no,7,1.0,4.98,60.0,100.0,Lionel,depuis 2 ans,Provence-Alpes-Côte d'Azur,"piscine, mont, équipée"
301,cabane ," Tournavaux, France",Room,2,no,5,,4.86,64.0,172.0,Johann,,Grand Est,"cabane, déjeuner, confortable"
302,hébergement ," Précey, France",Room,3,no,7,2.0,4.96,162.0,81.0,Aymeric,depuis 3 ans,Normandie,"mont, spacieux, campagne"
303,hébergement ," La Salvetat-Peyralès, France",Room,3,no,5,1.0,4.82,61.0,60.0,Marie Claude,depuis 10 ans,Occitanie,"calme, campagne, spa"
304,hébergement ," Vire-Normandie, France",Room,2,no,5,1.0,4.84,146.0,67.0,Magalie,depuis 2 ans,Normandie,"propre, calme, déjeuner"
305,maison de ville ," Honfleur, France",Room,3,no,6,1.0,4.84,258.0,142.0,Francois,depuis 10 ans,Normandie,"parking, restaurant, confortable"
306,hébergement ," Les Salelles, France",Room,3,no,6,1.0,5.0,41.0,115.0,Steve,depuis 3 ans,Auvergne-Rhône-Alpes,"piscine, accueillant, calme"
307,hébergement ," Saint-Martin-la-Pallu, France",Room,2,no,6,1.0,4.91,212.0,70.0,Helene,depuis 2 ans,Nouvelle-Aquitaine,"hélène, accueillante, propre"
308,hébergement ," Alluy, France",Room,2,no,5,1.0,4.91,74.0,80.0,Jan,depuis 2 ans,Bourgogne-Franche-Comté,"piscine, propre, calme"
309,suite ," Verton, France",Room,2,no,6,1.0,4.95,155.0,88.0,Celine,depuis 2 ans,Hauts-de-France,"propre, plage, calme"
310,hébergement ," Alluy, France",Room,2,no,5,1.0,4.91,74.0,80.0,Jan,depuis 2 ans,Bourgogne-Franche-Comté,"piscine, propre, calme"
311,suite ," Verton, France",Room,2,no,6,1.0,4.95,155.0,88.0,Celine,depuis 2 ans,Hauts-de-France,"propre, plage, calme"
312,hébergement ," La Boissière-École, France",Room,4,no,8,4.0,4.99,67.0,265.0,Aurélie,,Île-de-France,"spa, grand, piscine"
313,hébergement ," La Hague, France",Room,2,no,6,1.0,5.0,49.0,85.0,Sandra,11 mois,Normandie,"propre, terrasse, plage"
314,hébergement ," Le Pertuis, France",Room,3,no,5,1.0,4.89,96.0,51.0,Elodie,depuis 3 ans,Auvergne-Rhône-Alpes,"calme, grand, accueillante"
315,hébergement ," Marle, France",Room,3,no,9,1.0,4.86,164.0,68.0,Stephanie,depuis 2 ans,Hauts-de-France,"spacieux, équipée, qualité"
316,appartement ," Saint-Sozy, France",Room,2,no,6,1.0,4.97,90.0,62.0,Sébastien,depuis 3 ans,Occitanie,"piscine, propre, calme"
317,hébergement ," Arlay, France",Room,2,no,6,1.0,4.92,184.0,73.0,François,depuis 2 ans,Bourgogne-Franche-Comté,"propre, spacieux, amical"
318,hébergement ," Loctudy, France",Room,3,no,6,2.0,4.98,52.0,110.0,Yann,depuis 4 ans,Bretagne,"plage, équipée, calme"
319,appartement ," La Bresse, France",Room,2,no,6,1.0,4.92,13.0,306.0,Sarl,depuis 2 ans,Grand Est,"terrasse, vue, spacieux"
320,hébergement ," Pleumeur-Bodou, France",Room,3,no,6,2.0,4.96,45.0,120.0,Fred,depuis 4 ans,Bretagne,"plage, équipée, grand"
321,hébergement ," Chesnois-Auboncourt, France",Room,3,no,6,1.0,4.85,100.0,82.0,Juliette,depuis 3 ans,Grand Est,"calme, confortable, promenade"
322,hébergement ," Auxi-le-Château, France",Room,2,no,6,1.0,4.83,18.0,107.0,Delphine,6 mois,Hauts-de-France,"spacieux, grand, calme"
323,hébergement ," Eu, France",Room,2,no,5,1.0,4.85,147.0,77.0,Pauline,depuis 6 ans,Normandie,"calme, vue, jeune"
324,chalet ," Xonrupt-Longemer, France",Room,1,no,5,1.0,4.93,122.0,80.0,Jules Et Marie,depuis 2 ans,Grand Est,"gentil, calme, vue"
325,hébergement ," Tichey, France",Room,2,no,5,1.0,5.0,58.0,108.0,Anne-Lise Et Michaël,8 mois,Bourgogne-Franche-Comté,"piscine, propre, attention"
326,hébergement ," Dampmart, France",Room,3,no,7,1.0,4.88,136.0,141.0,Alexandre Et Gwladys,depuis 11 ans,Île-de-France,"piscine, alexandre, propre"
327,hébergement ," Romorantin-Lanthenay, France",Room,3,no,6,2.0,4.96,246.0,92.0,Sabrina,depuis 6 ans,Centre-Val de Loire,"spacieux, propre, grand"
328,chalet ," Cherier, France",Room,2,no,5,1.0,5.0,23.0,80.0,Dominique,8 mois,Auvergne-Rhône-Alpes,"vue, nature, environnement"
329,hébergement ," Le Mans, France",Room,2,no,6,1.0,4.81,491.0,76.0,Cecile,depuis 3 ans,Pays de la Loire,"propre, calme, parking"
330,hébergement ," Thourie, France",Room,2,no,5,1.0,5.0,13.0,50.0,Anne,5 mois,Bretagne,"campagne, calme, propre"
331,hébergement ," Ludesse, France",Room,3,no,6,2.0,4.95,21.0,45.0,Frédérique,7 mois,Auvergne-Rhône-Alpes,"calme, confortable, propre"
332,Cabane perchée ," Ratières, France",Room,2,no,7,1.0,4.97,285.0,,Jordane,depuis 9 ans,Auvergne-Rhône-Alpes,"cabane, piscine, calme"
333,maison d'hôtes ," Ozan, France",Room,2,yes,6,1.0,4.94,556.0,90.0,Yvette,depuis 5 ans,Auvergne-Rhône-Alpes,"espace, spacieux, grand"
334,hébergement ," Nortkerque, France",Room,3,no,6,1.0,4.98,113.0,79.0,Véronique,,Hauts-de-France,"grand, attention, propre"
335,cottage ," Dolaincourt, France",Room,2,no,5,1.0,4.87,94.0,56.0,Marie,depuis 3 ans,Grand Est,"calme, accueillante, animal"
336,Gîte à la ferme ," Beaufay, France",Room,2,no,6,1.0,4.71,616.0,55.0,Benoit,depuis 8 ans,Pays de la Loire,"calme, campagne, environnement"
337,chalet ," Neubois, France",Room,3,no,6,1.0,4.88,286.0,96.0,Fanny,depuis 11 ans,Grand Est,"cosy, déjeuner, copieux"
338,appartement ," Challes, France",Room,1,no,6,1.0,4.94,298.0,79.0,Joël,depuis 6 ans,Pays de la Loire,"piscine, déjeuner, accueillant"
339,chalet ," Le Menil, France",Room,2,no,5,1.0,4.91,131.0,138.0,Yves,depuis 9 ans,Grand Est,"sauna, spa, calme"
340,hébergement ," Saint-Michel-en-Brenne, France",Room,2,no,5,1.0,4.85,92.0,46.0,Nadine,depuis 3 ans,Centre-Val de Loire,"calme, grand, qualité"
341,loft ," Ménil-Hubert-sur-Orne, France",Room,1,no,5,1.0,4.79,515.0,75.0,Martine,depuis 6 ans,Normandie,"atypique, calme, vue"
342,hébergement ," Rogna, France",Room,2,no,5,1.0,4.98,48.0,74.0,Jessica Et Pascal,depuis 2 ans,Bourgogne-Franche-Comté,"accueillant, calme, bois"
343,hébergement ," Saint-Michel-en-Brenne, France",Room,2,no,5,1.0,4.85,92.0,46.0,Nadine,depuis 3 ans,Centre-Val de Loire,"calme, grand, qualité"
344,loft ," Ménil-Hubert-sur-Orne, France",Room,1,no,5,1.0,4.79,515.0,75.0,Martine,depuis 6 ans,Normandie,"atypique, calme, vue"
345,hébergement ," Beaufort-Orbagna, France",Room,2,no,6,1.0,4.84,96.0,60.0,Charlotte Virginie,10 mois,Bourgogne-Franche-Comté,"spacieux, propre, calme"
346,appartement ," Olmeto, France",Room,2,no,6,1.0,4.91,342.0,63.0,Claire,depuis 7 ans,Corse,"plage, accueillante, remerci"
347,hébergement ," Vandenesse-en-Auxois, France",Room,2,no,6,1.0,4.92,216.0,86.0,Blandine,depuis 7 ans,Bourgogne-Franche-Comté,"déjeuner, propre, accueillante"
348,hébergement ," Dinéault, France",Room,2,no,7,2.0,4.99,211.0,72.0,Stéphanie,depuis 3 ans,Bretagne,"vue, spacieux, grand"
349,maison d'hôtes ," Haut-du-Them-Château-Lambert, France",Room,2,no,5,1.0,4.89,287.0,70.0,Aurélien,depuis 6 ans,Bourgogne-Franche-Comté,"calme, propre, vue"
350,hébergement ," Marle, France",Room,3,yes,9,1.0,4.86,164.0,69.0,Stephanie,depuis 2 ans,Hauts-de-France,"chaude, spacieux, propre"
351,hébergement ," Locqueltas, France",Room,2,yes,5,1.0,4.96,209.0,47.0,Alain,depuis 4 ans,Bretagne,"calme, propre, environnement"
352,hébergement ," Sainte-Anne-sur-Brivet, France",Room,2,yes,6,1.0,4.98,198.0,80.0,Joanna,depuis 4 ans,Pays de la Loire,"propre, bois, environnement"
353,hébergement ," Pont-Hébert, France",Room,2,no,6,1.0,4.82,154.0,58.0,Melinda,depuis 3 ans,Normandie,"propre, calme, plage"
354,hébergement ," Barbières, France",Room,2,no,5,1.0,4.96,75.0,77.0,Anthony,,Auvergne-Rhône-Alpes,"nature, calme, propre"
355,appartement ," Coupvray, France",Room,3,yes,6,1.0,5.0,29.0,125.0,Julien,9 mois,Île-de-France,"parc, propre, confortable"
356,Gîte à la ferme ," Chalautre-la-Petite, France",Room,1,no,5,1.0,5.0,62.0,88.0,Caroline,depuis 4 ans,Île-de-France,"animal, cabane, décoration"
357,hébergement ," Le Plessis-Robinson, France",Room,3,no,5,1.0,4.93,14.0,111.0,David,depuis 8 ans,Île-de-France,"calme, propre, début"
358,chalet ," Le Dévoluy, France",Room,3,yes,5,1.0,4.97,73.0,90.0,Lionnel,depuis 8 ans,Provence-Alpes-Côte d'Azur,"calme, propre, vue"
359,hébergement ," Hautevesnes, France",Room,2,no,5,1.0,4.9,94.0,100.0,Manon,depuis 3 ans,Hauts-de-France,"piscine, cuisine, équipée"
360,hébergement ," L' Hôpital, France",Room,1,yes,5,1.0,4.91,79.0,62.0,Sabrina,8 mois,Grand Est,"propre, spacieux, grand"
361,chalet ," Saint-Jean-du-Pin, France",Room,3,no,5,2.0,4.96,354.0,155.0,Regis,depuis 6 ans,Occitanie,"sauna, piscine, calme"
362,hébergement ," La Chapelle-de-Guinchay, France",Room,2,no,6,1.0,4.91,79.0,79.0,Laura,depuis 4 ans,Bourgogne-Franche-Comté,"déjeuner, accueillante, propre"
363,hébergement ," Verneusses, France",Room,2,yes,6,1.0,4.96,68.0,118.0,Ingrid,depuis 8 ans,Normandie,"bois, accueillante, déjeuner"
364,appartement ," Villemomble, France",Room,2,yes,6,1.0,4.96,23.0,155.0,Estelle Hulya,2 mois,Île-de-France,"propre, expérience, escapad"
365,hébergement ," Rieulay, France",Room,3,yes,6,2.0,4.9,10.0,120.0,Mathieu,depuis 6 ans,Hauts-de-France,"propre, froid, promenade"
366,chalet ," Oléac-Débat, France",Room,2,yes,5,1.0,4.99,180.0,150.0,Gaelle,depuis 2 ans,Occitanie,"terrasse, propre, spa"
367,hébergement ," Saint-Vit, France",Room,3,yes,6,1.0,5.0,21.0,80.0,Danielle,11 mois,Bourgogne-Franche-Comté,"propre, spacieux, accueillante"
368,appartement ," Saint-Sozy, France",Room,2,yes,6,1.0,4.97,110.0,62.0,Sébastien,depuis 3 ans,Occitanie,"piscine, propre, barbecue"
369,hébergement ," Mainneville, France",Room,4,yes,10,2.0,4.88,43.0,207.0,Stephane,,Normandie,"piscine, équipée, parc"
370,chalet ," Ban-sur-Meurthe-Clefcy, France",Room,2,no,5,1.0,4.96,52.0,66.0,Aurore,depuis 3 ans,Grand Est,"calme, propre, nature"
371,maison d'hôtes ," Ozan, France",Room,2,yes,6,1.0,4.94,558.0,90.0,Yvette,depuis 5 ans,Auvergne-Rhône-Alpes,"spacieux, propre, espace"
372,villa ," Bédoin, France",Room,3,yes,7,1.0,4.98,60.0,102.0,Lionel,depuis 2 ans,Provence-Alpes-Côte d'Azur,"piscine, mont, équipée"
373,chalet ," Pers-Jussy, France",Room,2,yes,6,2.0,4.95,111.0,70.0,Anne Et Didier,depuis 5 ans,Auvergne-Rhône-Alpes,"spacieux, nature, calme"
374,suite ," Champanges, France",Room,2,no,5,1.0,4.96,231.0,97.0,Marie,depuis 5 ans,Auvergne-Rhône-Alpes,"accueillante, vue, propre"
375,hébergement ," Surtainville, France",Room,2,yes,5,1.0,4.87,76.0,46.0,Olivier,depuis 3 ans,Normandie,"plage, calme, propre"
376,hébergement ," Pierre-Percée, France",Room,2,no,6,1.0,4.47,34.0,68.0,Manon,,Grand Est,"calme, chauffage, froid"
377,chalet ," Los Masos, France",Room,1,no,5,1.0,4.88,155.0,55.0,Eric,depuis 11 ans,Occitanie,"cabane, bois, calme"
378,hébergement ," Vouneuil-sur-Vienne, France",Room,3,yes,6,2.0,4.93,113.0,72.0,Arlette Et Dominique,depuis 2 ans,Nouvelle-Aquitaine,"accueillant, vue, propre"
379,hébergement ," Ludesse, France",Room,2,no,6,1.0,4.91,32.0,48.0,Elodie,11 mois,Auvergne-Rhône-Alpes,"bois, accueillant, gens"
380,hébergement ," Béthisy-Saint-Pierre, France",Room,3,yes,5,2.0,4.93,45.0,80.0,Matthieu,10 mois,Hauts-de-France,"parc, propre, grand"
381,hébergement ," Verneuil d'Avre et d'Iton, France",Room,3,no,6,1.0,4.9,39.0,106.0,Agence COCOONR / BOOK&PAY,depuis 5 ans,Normandie,"campagne, jeune, grand"
382,appartement ," Saint-Sozy, France",Room,2,yes,6,1.0,4.97,90.0,62.0,Sébastien,depuis 3 ans,Occitanie,"piscine, propre, calme"
383,hébergement ," Bréville-les-Monts, France",Room,2,yes,6,1.0,4.9,49.0,205.0,Marion,depuis 3 ans,Normandie,"piscine, vue, accueillante"
384,hébergement ," Villegouin , France",Room,2,no,5,1.0,4.88,129.0,52.0,Jean-Frédéric,,Centre-Val de Loire,"propre, calme, château"
385,hébergement ," Villentrois-Faverolles-en-Berry, France",Room,3,no,6,1.0,4.83,289.0,40.0,Franck,depuis 4 ans,Centre-Val de Loire,"propre, bois, château"
386,hébergement ," Badecon-le-Pin, France",Room,1,yes,5,1.0,4.91,205.0,43.0,Agnès Et Alexandre,depuis 2 ans,Centre-Val de Loire,"propre, calme, alexandre"
387,hébergement ," Le Mans, France",Room,2,no,6,1.0,4.81,491.0,76.0,Cecile,depuis 3 ans,Pays de la Loire,"propre, calme, parking"
388,hébergement ," Vareilles, France",Room,3,yes,7,1.0,4.99,77.0,115.0,Bruno,depuis 4 ans,Bourgogne-Franche-Comté,"piscine, accueillant, calme"
389,appartement ," Saint-Mandrier-sur-Mer, France",Room,1,no,6,1.0,4.83,6.0,36.0,Alexandre,1 mois,Provence-Alpes-Côte d'Azur,"alexandre, vue, disponibilité"
390,appartement ," Château-Thierry, France",Room,2,yes,5,1.0,4.97,32.0,69.0,Julie,7 mois,Hauts-de-France,"propre, spacieux, grand"
391,hébergement ," Cholet, France",Room,3,no,6,1.0,5.0,49.0,90.0,Kevin,6 mois,Pays de la Loire,"propre, déjeuner, confortable"
392,hébergement ," Bellevesvre, France",Room,3,no,6,2.0,4.87,494.0,179.0,Dak,depuis 6 ans,Bourgogne-Franche-Comté,"piscine, grand, gentil"
393,hébergement ," Moliets-et-Maa, France",Room,3,no,6,1.0,4.95,56.0,100.0,Dorian,depuis 3 ans,Nouvelle-Aquitaine,"plage, piscine, cuisine"
394,hébergement ," Asson, France",Room,2,yes,6,2.0,4.99,105.0,174.0,Laurent,depuis 7 ans,Nouvelle-Aquitaine,"vue, montagne, grand"
395,maison d'hôtes ," Castelnau-Durban, France",Studio,0,no,5,1.0,4.97,304.0,78.0,Lieve,depuis 9 ans,Occitanie,"nature, montagne, vue"
396,hébergement ," Les Terres-de-Chaux, France",Room,3,yes,8,1.0,4.82,22.0,65.0,Sandrine,5 mois,Bourgogne-Franche-Comté,"spacieux, campagne, propre"
397,maison de ville ," Fère-en-Tardenois, France",Room,2,yes,6,1.0,4.89,56.0,65.0,Laurène,6 mois,Hauts-de-France,"parking, confortable, spacieux"
398,cottage ," Saint-Vincent-du-Lorouër, France",Room,2,yes,6,1.0,4.94,283.0,61.0,Abdel Ilah,depuis 3 ans,Pays de la Loire,"confortable, calme, cuisine"
399,hébergement ," Peyrilhac, France",Room,5,no,8,1.0,4.95,230.0,95.0,Benoît,depuis 3 ans,Nouvelle-Aquitaine,"calme, propre, grand"
400,maison de ville ," Honfleur, France",Room,3,yes,6,1.0,4.85,259.0,129.0,Francois,depuis 10 ans,Normandie,"parking, restaurant, cuisine"
401,maison de ville ," Arnage, France",Room,2,yes,6,1.0,4.91,320.0,76.0,Pauline,depuis 2 ans,Pays de la Loire,"propre, calme, fenêtre"
402,hébergement ," Moirans-en-Montagne, France",Room,2,no,6,1.0,4.78,259.0,76.0,Chafic,depuis 4 ans,Bourgogne-Franche-Comté,"propre, calme, confortable"
403,appartement ," Baudinard-sur-Verdon, France",Room,3,yes,7,2.0,4.98,60.0,109.0,Danielle,depuis 6 ans,Provence-Alpes-Côte d'Azur,"confortable, grand, piscine"
404,hébergement ," Monay, France",Room,2,no,5,1.0,4.92,48.0,80.0,Cedric,,Bourgogne-Franche-Comté,"propre, calme, jeune"
405,hébergement ," Émanville, France",Room,8,no,15,3.0,4.94,32.0,151.0,Le Domaine D'Emanville,depuis 3 ans,Normandie,"piscine, grand, spacieux"
406,hébergement ," Moulle, France",Room,2,yes,8,1.0,4.98,120.0,100.0,Camille Et Rémi,depuis 2 ans,Hauts-de-France,"propre, confortable, accueillant"
407,cottage ," Mesnil-Saint-Père, France",Room,2,yes,5,1.0,4.93,60.0,79.0,Georges,depuis 5 ans,Grand Est,"vue, propre, plage"
408,hébergement ," Autoire, France",Room,2,no,5,1.0,4.97,61.0,64.0,Emilie Et Julien,depuis 2 ans,Occitanie,"piscine, propre, calme"
409,hébergement ," Sore, France",Room,2,yes,5,1.0,4.98,177.0,77.0,Fabienne Et Jean-Noel,depuis 12 ans,Nouvelle-Aquitaine,"parc, piscine, calme"
